datetime,Tryptophan (RFU)
8/2/2024 1:50:10,76.5
8/2/2024 1:55:10,78.2
8/2/2024 2:00:10,76.5
8/2/2024 2:05:10,78.1
8/2/2024 2:10:10,75.5
8/2/2024 2:15:10,76.1
8/2/2024 2:20:10,77.2
8/2/2024 2:25:10,77
8/2/2024 2:30:10,76.9
8/2/2024 2:35:10,78
8/2/2024 2:40:10,77
8/2/2024 2:45:10,77.1
8/2/2024 2:50:10,78.8
8/2/2024 2:55:10,78.5
8/2/2024 3:00:10,78
8/2/2024 3:05:10,76.7
8/2/2024 3:10:10,78.3
8/2/2024 3:15:10,78.8
8/2/2024 3:20:10,79.1
8/2/2024 3:25:10,75.2
8/2/2024 3:30:10,76.4
8/2/2024 3:35:10,77.6
8/2/2024 3:40:10,76.7
8/2/2024 3:45:10,77.5
8/2/2024 3:50:10,76.6
8/2/2024 3:55:10,78.6
8/2/2024 4:00:10,77.3
8/2/2024 4:05:10,76.4
8/2/2024 4:10:10,78.1
8/2/2024 4:15:10,78.2
8/2/2024 4:20:10,77.4
8/2/2024 4:25:10,77.8
8/2/2024 4:30:10,77.9
8/2/2024 4:35:10,78
8/2/2024 4:40:10,78
8/2/2024 4:45:10,78.7
8/2/2024 4:50:10,77.4
8/2/2024 4:55:10,79.1
8/2/2024 5:00:10,78.4
8/2/2024 5:05:10,77
8/2/2024 5:10:10,76.9
8/2/2024 5:15:10,77.4
8/2/2024 5:20:10,76.6
8/2/2024 5:25:10,76.7
8/2/2024 5:30:10,76.7
8/2/2024 5:35:10,76.5
8/2/2024 5:40:10,77.7
8/2/2024 5:45:10,78.4
8/2/2024 5:50:10,77.5
8/2/2024 5:55:10,76.6
8/2/2024 6:00:10,77.5
8/2/2024 6:05:10,77.5
8/2/2024 6:10:10,78
8/2/2024 6:15:10,78.7
8/2/2024 6:20:10,78.2
8/2/2024 6:25:10,77.3
8/2/2024 6:30:10,78.1
8/2/2024 6:35:10,78.5
8/2/2024 6:40:10,78.3
8/2/2024 6:45:10,78.7
8/2/2024 6:50:10,79.1
8/2/2024 6:55:10,77.8
8/2/2024 7:00:10,78.3
8/2/2024 7:05:10,79.4
8/2/2024 7:10:10,78.3
8/2/2024 7:15:10,77.4
8/2/2024 7:20:10,78.7
8/2/2024 7:25:10,78.3
8/2/2024 7:30:10,78.1
8/2/2024 7:35:10,77.9
8/2/2024 7:40:10,77.3
8/2/2024 7:45:10,78.4
8/2/2024 7:50:10,77.9
8/2/2024 7:55:10,76.5
8/2/2024 8:00:10,78.2
8/2/2024 8:05:10,77.7
8/2/2024 8:10:10,77.2
8/2/2024 8:15:10,79
8/2/2024 8:20:10,80.2
8/2/2024 8:25:10,76.2
8/2/2024 8:30:10,78
8/2/2024 8:35:10,78.5
8/2/2024 8:40:10,77.1
8/2/2024 8:45:10,77.4
8/2/2024 8:50:10,77
8/2/2024 8:55:10,78.6
8/2/2024 9:00:10,78.6
8/2/2024 9:05:10,78.9
8/2/2024 9:10:10,77.9
8/2/2024 9:15:10,77.2
8/2/2024 9:20:10,77.8
8/2/2024 9:25:10,77.2
8/2/2024 9:30:10,76.8
8/2/2024 9:35:10,77.9
8/2/2024 9:40:10,79.9
8/2/2024 9:45:10,78.3
8/2/2024 9:50:10,79.2
8/2/2024 9:55:10,76.4
8/2/2024 10:00:10,77.5
8/2/2024 10:05:10,76.6
8/2/2024 10:10:10,77.2
8/2/2024 10:15:10,78.1
8/2/2024 10:20:10,78.4
8/2/2024 10:25:10,78.2
8/2/2024 10:30:10,77.5
8/2/2024 10:35:10,78.5
8/2/2024 10:40:10,77.8
8/2/2024 10:45:10,79.2
8/2/2024 10:50:10,77.6
8/2/2024 10:55:10,77.1
8/2/2024 11:00:10,77.9
8/2/2024 11:05:10,78
8/2/2024 11:10:10,77.7
8/2/2024 11:15:10,78.6
8/2/2024 11:20:10,78.1
8/2/2024 11:25:10,80.1
8/2/2024 11:30:10,78.9
8/2/2024 11:35:10,76.3
8/2/2024 11:40:10,77.3
